== 0 ==
"001"	{Blue}If might is supposed to make right,	then what makes left, maaan?{Color Reset}
"173"	{Blue}Ne demande jamais à une ballerine	comment elle danse sur la pointe	des pieds. C'est un effet spécial !{Color Reset}
"174"	{Blue}La vérité blesse, man. Surtout si	tu l'écris sur un caillou pour le	jeter sur quelqu'un.{Color Reset}
"175"	{Blue}Est-ce que « être plein comme une	loutre » signifie quoi que ce soit ?	Ça me tracasse, maaaan !{Color Reset}
"176"	{Blue}Maaan, si on brillait dans le noir,	on ferait des économies	d'électricité énormes !{Color Reset}
"177"	{Blue}Maaan, quand j'étais petit, je	croyais que les montagnes étaient	fabriquées par des taupes géantes !{Color Reset}
"178"	{Blue}Maaan, tu crois que l'herbe est	triste que tout le monde lui préfère	les fleurs ?{Color Reset}
"179"	{Blue}Les agents secrets, on en voit dans	plein de films ! Du coup, ils ne sont	plus secrets du tout, man !{Color Reset}
"180"	{Blue}Quel drôle de mot, « guimauve »...	C'est ni du gui, ni mauve. Ça devrait	s'appeler « chouignerose » !{Color Reset}
"181"	{Blue}Le premier avril, c'est le seul jour	où les sales blagues font rire,	maaaan...{Color Reset}
"182"	{Blue}Pourquoi est-ce que c'est toujours	les vêtements les plus confortables	qui sont les plus ridicules ?{Color Reset}
"183"	{Blue}Il paraît que l'honnêteté paye	toujours, mais les plus honnêtes	sont rarement les plus riches.{Color Reset}
"184"	{Blue}Il y a encore des gens qui croient	que les lapins aiment les carottes ?	C'est les chèvres, pas les lapins !{Color Reset}
"185"	{Blue}Un petit cochon se fait-il punir	s'il nettoie sa chambre ? C'est	important comme question, maan !{Color Reset}
"186"	{Blue}Si les gens savaient à quel point	l'océan est superbe, tout le monde	apprendrait à nager, maaaan.{Color Reset}
"187"	{Blue}Tu as déjà essayé de boire une	tasse de thé sur un chameau en	furie ? Ça éclabousse, maaan !{Color Reset}
"188"	{Blue}J'écoute souvent des chansons à	l'envers pour trouver des messages	subliminaux, mais ça marche jamais.{Color Reset}
"189"	{Blue}Pourquoi c'est toujours les abeilles	qui butinent les fleurs, et pas les	fleurs qui butinent les abeilles ?{Color Reset}
"190"	{Blue}Il y a tellement de langues dans ce	monde que les extra-terrestres	ne doivent rien y comprendre !{Color Reset}
"191"	{Blue}J'ai toujours voulu aller au zoo,	mais le loyer y est vraiment trop	élevé, maaaan !{Color Reset}
"192"	{Blue}Je suis toujours de bonne humeur,	maaan. Enfin, sauf quand je ne le	suis pas, quoi.{Color Reset}
"193"	{Blue}Les batailles de pistolet à eau, c'est	toujours sympa...{Wait for input}... jusqu'à ce que quelqu'un repère	le tuyau d'arrosage.{Color Reset}
"194"	{Blue}Pourquoi est-ce davantage un crime	de manger le dernier biscuit que de	manger tout le reste du paquet ?{Color Reset}
"195"	{Blue}Certains scientifiques veulent	comprendre les animaux... Mais s'ils	comprennent déjà pas les humains...{Color Reset}
"196"	{Blue}Si les loups-garous ne sortent que	lorsqu'on dort, comment on sait	qu'ils existent ? Ça me rend chèvre.{Color Reset}
"197"	{Blue}Ceux qui jettent leurs ordures dans	l'océan aimeraient-ils que je	fasse de même dans leur jardin ?{Color Reset}
"198"	{Blue}Les piscines, c'est l'océan	du pauvre... Y'a même pas	à manger dedans !{Color Reset}
"199"	{Blue}Si tu offres un souvenir à quelqu'un,	qu'est-ce qu'il devient si tu ne t'en	souviens plus ?{Color Reset}
"200"	{Blue}Maaan, pourquoi on surnomme les	serveurs des « pingouins » ? Il	vivent même pas sur la banquise...{Color Reset}
"201"	{Blue}Difficile d'être peintre quand on est	un poisson... T'as déjà essayé de	peindre sous l'eau ?{Color Reset}
"202"	{Blue}Pourquoi les chaussettes ne sont	pas vendues par trois, puisqu'on en	perd toujours une ?{Color Reset}
"203"	{Blue}Les surgelés c'est bien beau, mais	comment on fait quand on n'a pas	de congélateur ?{Color Reset}
"204"	{Blue}Les maths ont été inventées pour	faire tourner les élèves en	bourrique, maaan.{Color Reset}
"205"	{Blue}Les pommes de terre crues c'est	dégoûtant, maaan, pourquoi ça ne	pousse pas sous forme de frites ?{Color Reset}
"206"	{Blue}Tu crois que certains journalistes	écrivent des articles sur des articles	déjà parus ? Ce serait fou, maaan.{Color Reset}
"207"	{Blue}La vitesse de la lumière ? C'est pour	les petits joueurs, maaan. Moi, je	veux dépasser la vitesse du temps !{Color Reset}
"208"	{Blue}Il paraît que si t'es pas sage, le père	Noël appelle ton prof principal, et là	bonjour les heures de colle, maaan.{Color Reset}
"209"	{Blue}Les t-shirts blancs attirent la sauce	bolognaise comme le sucre attire	les guêpes, maaan, c'est connu.{Color Reset}
"210"	{Blue}Pourquoi les meubles ressemblent à	des feuilles avant qu'on ne les	installe chez soi ? Tu le sais, toi ?{Color Reset}
"211"	{Blue}Il paraît que le ciel n'est pas bleu du	tout, mais que c'est la lumière qui	nous le fait croire. C'est trop fou !{Color Reset}
"212"	{Blue}Ne pas savoir nager, c'est pas	grave, mais ne pas savoir flotter, là	c'est un sérieux problème !{Color Reset}
"213"	{Blue}Je croyais que la rafflesia sentait	la rose... mais en fait, cette fleur	empeste bien plus que du fumier !{Color Reset}
"214"	{Blue}Les guépards sont-ils de la même	famille que les guêpes ? Avec leur	nom et leur couleur...{Color Reset}
"215"	{Blue}Maaan, la vie doit être un enfer pour	les poissons qui souffrent du mal de	mer...{Color Reset}
"216"	{Blue}Et si les requins n'essayaient pas	d'attaquer les plongeurs dans les	cages, mais de les libérer ?{Color Reset}
"217"	{Blue}Si les scorpions avaient de jolies	couleurs comme les papillons,	est-ce qu'ils feraient moins peur ?{Color Reset}
"218"	{Blue}Tu as déjà vu une baleine éternuer ?	Maaan, il leur faudrait une voile de	bateau pour se moucher !{Color Reset}
"219"	{Blue}Et si les dinosaures n'avaient pas	disparu, mais étaient seulement très	bien cachés quelque part ?{Color Reset}
"220"	{Blue}Maaan, un chapeau, c'est juste 	comme un slip pour la tête ! Ça me	fait bouillir le cerveau !{Color Reset}
"221"	{Blue}Les oiseaux ont-ils vraiment besoin	de se baigner ? Leurs plumes sont	imperméables, non ?{Color Reset}
"222"	{Blue}Les céréales dans du lait chaud, ça	devient de la bouillie, maaan ! Et le	croustillant dans tout ça ?!{Color Reset}
"223"	{Blue}Si j'avais un million de clochettes,	maaan... Je ne sais même pas ce que	j'en ferais.{Color Reset}
"224"	{Blue}Les marées, j'y crois pas, maaan. Et	si c'était plutôt la terre qui montait	et qui descendait ?{Color Reset}
"225"	{Blue}Si tu pouvais remonter le temps,	est-ce que tu oserais te faire une	petite farce à toi-même ?{Color Reset}
"226"	{Blue}Tous les chemins ont un arôme,	maaan.{Color Reset}
"227"	{Blue}Rien de plus adorable qu'une loutre,	pas vrai ? INTERDIT de dire	« non » !{Color Reset}
"228"	{Blue}Tu sais ce dont ce monde a besoin ?	De chewing-gum goût huître !	Ça ferait un malheur !{Color Reset}
"229"	{Blue}Rien dans la vie n'est jamais gratuit.	N'oublie jamais ça, man...{Color Reset}
"230"	{Blue}Maaan, tu savais qu'un thesaurus	c'était un livre ? J'ai toujours cru	que c'était un dinosaure !{Color Reset}
"231"	{Blue}Maaan, les guêpes, ça me donne le	bourdon.{Color Reset}
"232"	{Blue}On ne fait pas d'omelette sans	casser des œufs, maaan, sauf si on	a pas d'œufs.{Color Reset}
"233"	{Blue}Les rots, c'est la nature qui te	montre qu'elle reprend toujours	ses droits.{Color Reset}
"234"	{Blue}La vie c'est comme un gros	coquillage. Ah, non, en fait c'est ce	que j'aimerais manger. J'ai faim !{Color Reset}
"235"	{Blue}J'ai acheté un four. C'était pas	marqué sur la notice qu'il ne	fonctionne pas sous l'eau !{Color Reset}
"236"	{Blue}Maaan, ne dis jamais à un poisson	qu'il sent mauvais. Il le sait, pas	besoin d'enfoncer le clou !{Color Reset}
"237"	{Blue}La qualité, c'est toujours mieux que	la quantité. Sauf quand on parle	d'un buffet, maaan !{Color Reset}
"238"	{Blue}On ne peut pas s'autoproclamer	héros, c'est fou, non ?{Color Reset}
"239"	{Blue}Quel est le sadique qui a inventé	l'algèbre ? Il devait vraiment	détester les enfants !{Color Reset}
"240"	{Blue}Maaan, pourquoi certains insectes	brillent la nuit ? Ils ont besoin de	lumière pour lire ?{Color Reset}
"241"	{Blue}J'ai pris des cours de couture, mais	je n'ai rien à coudre. Quel gâchis de	mes talents...{Color Reset}
"242"	{Blue}Le sable, c'est rien que des petits	rochers. Man, je peux LANCER DES	ROCHERS si j'en ai envie !{Color Reset}
"243"	{Blue}Les poissons-scies ont une scie à la	place du nez. Rien que pour ça, ce	sont les poissons les plus cool !{Color Reset}
"244"	{Blue}Quand on tond le mouton, le	caniche se cache dans sa niche.{Color Reset}
"245"	{Blue}Il arrive que les éléphants aient des	trous de mémoire ! C'est quelqu'un	qui me l'a dit, mais je sais plus qui...{Color Reset}
"246"	{Blue}Pas besoin d'être seul pour se	sentir seul, maaan. N'oublie jamais	ça.{Color Reset}
"247"	{Blue}Ne cache jamais tes sentiments,	maaan. Tu risquerais de ne jamais	les retrouver !{Color Reset}
"248"	{Blue}Fais en sorte de vivre une vie sans	regrets. On ne peut pas remonter le	temps, maaan.{Color Reset}
"249"	{Blue}Il faut être fort, maaan. Fort	comme le coquillage accroché au	rocher. Mmm... coquillages...{Color Reset}
"250"	{Blue}On peut toujours tout faire avec de	la volonté. Ne laisse personne te	dire le contraire !{Color Reset}
"251"	{Blue}Si tout le monde apprend vite à	parler, très peu sont ceux qui	apprennent à se taire, man.{Color Reset}
"252"	{Blue}C'est pas toujours si mal de n'être	qu'une goutte d'eau dans l'océan.	Sans gouttes d'eau, pas d'océan !{Color Reset}
"253"	{Blue}La mode d'aujourd'hui sera ce dont	personne ne voudra demain.	Réfléchis-y bien, maaan !{Color Reset}
"254"	{Blue}C'est pas si grave d'être petit,	maaan. De loin, tout le monde est	petit.{Color Reset}
"255"	{Blue}Quand on aime quelqu'un, on lui	sacrifie le dernier biscuit du paquet,	maaan.{Color Reset}
"256"	{Blue}L'école est gratuite, et l'ignorance	ne paye pas, maaaan. Alors tu	ferais mieux d'étudier en classe.{Color Reset}
"257"	{Blue}Un restaurant pourra se vanter	d'être le meilleur ou le pire au	monde, mais jamais d'être moyen.{Color Reset}
"258"	{Blue}C'est pas difficile de faire pleurer	quelqu'un. Le vrai challenge est de	lui redonner le sourire, maaan.{Color Reset}
"259"	{Blue}Les petits malins deviennent	parfois les plus grands imbéciles,	maaaan.{Color Reset}
"260"	{Blue}Si tu veux changer le monde,	commence par changer de	chaussettes, maaan.{Color Reset}
"261"	{Blue}Les modes sont souvent lancées par	accident, maaan.{Color Reset}
== 3 ==
"001"	{Blue}Squalett{o/a}, sai qual è il colmo	per un riccio?	Avere una spina nel fianco!{Color Reset}
"002"	{Blue}Se tu sei normale, ma sei in un	gruppo di strani, significa che	sei tu quell{o/a} stran{o/a}, squalett{o/a}?{Color Reset}
"003"	{Blue}Una volta che dici in giro	un segreto, non è più	un segreto!{Color Reset}
"004"	{Blue}Se ti si spezza il cuore quando	si conclude un amore...{Wait for input}... cosa succede allo stomaco,	quando il pranzo finisce,	squalett{o/a}?{Color Reset}
"005"	{Blue}Chissà se gli spaghetti	ballerebbero mai la salsa,	squalett{o/a}?!{Color Reset}
"006"	{Blue}Chi pensa di non essere bravo a fare	qualcosa, finisce per diventarlo	più degli altri. Prova anche tu!{Color Reset}
"007"	{Blue}Squalett{o/a}, ma i galli	"galleggiano" in acqua?{Color Reset}
"008"	{Blue}Chi rimanda le cose,	finisce per non farle	mai, squalett{o/a}.{Color Reset}
"009"	{Blue}Il nemico del mio nemico è l'amico	del migliore amico del mio nemico.	Che confusione, squalett{o/a}!{Color Reset}
"010"	{Blue}L'amore è come un'onda, squalett{o/a}.	Ci sono un sacco di alti e bassi	e di cadute mentre sei sul surf.{Color Reset}
"011"	{Blue}Perché li chiamano "banchi"	di pesci? Mica si usano a	scuola, squalett{o/a}.{Color Reset}
"012"	{Blue}Gli involtini primavera si possono	mangiare durante tutto l'anno...	Strano, vero?{Color Reset}
"013"	{Blue}Se mettessi la montagna più alta	nell'oceano più profondo, sarebbe	coperta d'acqua, squalett{o/a}!{Color Reset}
"014"	{Blue}Se cerchi di risparmiare,	perché spendere soldi per	un salvadanaio, squalett{o/a}?{Color Reset}
"015"	{Blue}Se scrivi una bugia in un libro	"tratto da una storia vera",	smette di essere una bugia?{Color Reset}
"016"	{Blue}Anche i pescecani hanno	pescicuccioli, ma nessuno	li coccola mai, squalett{o/a}...{Color Reset}
"017"	{Blue}Lamentarsi è gratis, ma alla fine	paghi sempre il conto. Squalett{o/a},	questa dovrei ricordarmela...{Color Reset}
"018"	{Blue}Se ci sono sette mari,	perché non abbiamo più	barche, squalett{o/a}?{Color Reset}
"019"	{Blue}Mare e cielo si somigliano più di	quanto immagini. Per esempio, tutti	e due hanno le stelle! Pensaci!{Color Reset}
"020"	{Blue}In Alaska, dal rubinetto dell'acqua	calda esce acqua fredda.	È vero, squalett{o/a}!	{Color Reset}{Blue}Parola di lontra!{Color Reset}
"021"	{Blue}Se non vinci mai nemmeno	una partita, hai lo stesso	un record perfetto, squalett{o/a}!{Color Reset}
"022"	{Blue}Un eroe che vuole una ricompensa	per tutto ciò che fa non è	un vero eroe, squalett{o/a}!{Color Reset}
"023"	{Blue}Squalett{o/a}, quando un musicista	ha un progetto davvero tosto,	si può dire che ha un "piano forte"?{Color Reset}
"024"	{Blue}Ma chi fa da sé fa per tre,	o l'unione fa la forza?	Sono confuso, squalett{o/a}!{Color Reset}
"025"	{Blue}Quando provi qualcosa di nuovo,	smette di essere nuovo, non credi	anche tu, squalett{o/a}?{Color Reset}
"026"	{Blue}La gente che dice di non avere	preoccupazioni è semplicemente	in grado di ignorarle, squalett{o/a}!{Color Reset}
"027"	{Blue}Se dici ad un bambino di fare una	cosa, non la fa. Basterebbe dirgli	di non farla!{Color Reset}
"028"	{Blue}I pesci pagliaccio non hanno	nemmeno il naso rosso, squalett{o/a}!	Ma allora come fanno a far ridere?{Color Reset}
"029"	{Blue}Tutti amano l'estate perché	si può andare al mare e l'inverno	perché si va a sciare!	E l'autunno?	Nessuno ama l'autunno?{Color Reset}
"030"	{Blue}Ma perché le montagne russe	si chiamano così? Io a Mosca	non ne ho vista nemmeno una!{Color Reset}
"031"	{Blue}Squalett{o/a}, sai qual è il colmo	per un temporale?	Avere lampi di genio!{Color Reset}
"032"	{Blue}Uffa, le perle non stanno	mai a sentire le mie "perle	di saggezza", squalett{Color Reset}{Blue}{o/a}!{Color Reset}
"033"	{Blue}Squalett{o/a}, sai qual è il colmo	per una foca? Essere chiamata	"focaccia"!{Color Reset}
"034"	{Blue}Ma come si fa a pilotare	una mongolfiera, squalett{o/a}?	Ci vuole un mega ventilatore?{Color Reset}
"035"	{Blue}Squalett{o/a}, sai qual è il colmo	per uno squalo? Venire "squalificato"	in una gara!{Color Reset}
"036"	{Blue}Perché tutti i luoghi interessanti	devono essere sempre pieni	di turisti, squalett{o/a}?{Color Reset}
"037"	{Blue}Una volta ho conosciuto	una fata che si è beccata	il colpo della strega!{Color Reset}
"038"	{Blue}Chissà perché quelle dei polipi	si chiamano "ventose"?! In fondo	al mare non c'è "vento", squalett{Color Reset}{Blue}{o/a}!{Color Reset}
"039"	{Blue}Se sbagliando s'impara, non sarebbe	più logico sbagliare in continuazione,	squalett{o/a}?{Color Reset}
"040"	{Blue}Se i tuoi sogni diventano	realtà, cosa ti resta da	sognare, squalett{o/a}?{Color Reset}
"041"	{Blue}La strada meno trafficata	è la più difficile di tutte da	percorrere, squalett{o/a}. Pensaci su!{Color Reset}
"042"	{Blue}Quando perdi qualcosa, la trovi	sempre nell'ultimo posto in cui	la cerchi, squalett{o/a}!{Color Reset}
"043"	{Blue}Se la luce brilla più forte	nell'oscurità, dov'è che	il buio è più scuro nella luce?{Color Reset}	{Blue}Come sono filosofico oggi,	squalett{o/a}!{Color Reset}
"044"	{Blue}A volte mi chiedo se il cielo non	sia la terra su cui camminiamo	a testa in giù, squalett{o/a}!{Color Reset}
"045"	{Blue}Se gli uomini vivessero in acqua,	qualcuno si accorgerebbe	se piangessero?	Oh, squalett{o/a}, che tristezza.{Color Reset}
"046"	{Blue}Perché se uno ha pochi capelli,	si dice che è calvo? I capelli sono	sempre capelli anche se sono pochi!{Color Reset}
"047"	{Blue}Chiunque dica "ottima domanda"	ha già una risposta pronta,	squalett{o/a}!{Color Reset}
"048"	{Blue}I laghi sono come piccoli	oceani senza il plancton,	squalett{o/a}!{Color Reset}
"049"	{Blue}Sono gli oceani a ricoprire la terra,	oppure è la terra a ricoprire una	parte dell'oceano?{Color Reset}
"050"	{Blue}Perché si dice che i pesci	di lago sono pesci di acqua	dolce, squalett{o/a}?	L'acqua dei laghi non è mica	zuccherata!{Color Reset}
"051"	{Blue}Un pesce che pesca un uomo	si chiama "umanatore", squalett{o/a}?{Color Reset}
"052"	{Blue}I pesci gatto non sono gatti,	squalett{o/a}! Non hanno neanche	gli artigli!{Color Reset}
"053"	{Blue}Se trovassi cento persone disposte	a darti una stellina, alla fine avresti	ben cento stelline, squalett{o/a}.{Color Reset}
"054"	{Blue}Ma se un fannullone decide	di smettere di non far nulla, non sta	evitando di fare il suo dovere?{Color Reset}
"055"	{Blue}Chissà chi la spunterebbe in uno	scontro tra ninja e pirati,	squalett{o/a}?!{Color Reset}
"056"	{Blue}Ma i ragni non si annoiano a vivere	sulle ragnatele, squalett{o/a}?{Color Reset}{Wait for input}{Blue}Fossi in loro, mi farei una villa	di ragnatele anziché una	semplice retina!{Color Reset}
"057"	{Blue}Sai cosa fa uno struzzo quando	è depresso, squalett{o/a}?	Va dallo "struzzacervelli"!{Color Reset}
"058"	{Blue}Se provi a galleggiare e non ci riesci,	forse la tua specialità è affondare,	squalett{o/a}.{Color Reset}
"059"	{Blue}Ma se lo struzzo ha il boa di struzzo,	il boa ha il boa di boa, squalett{o/a}?{Color Reset}
"060"	{Blue}Se un granchio si sbaglia	si può dire che ha preso	un granchio, squalett{o/a}?{Color Reset}
"061"	{Blue}Se una cosa non vale la carta su cui	è stampata, puoi comunque vendere	la carta, squalett{o/a}?{Color Reset}
"062"	{Blue}Sai cosa fa un tonno quando	se ne va a casa, squalett{o/a}?	"Tonna" a casa!{Color Reset}
"063"	{Blue}Sai qual è il colmo per	un cellulare, squalett{o/a}?	Avere la cellulite!{Color Reset}
"064"	{Blue}Buon cibo, relax e aria salmastra,	squalett{o/a}. C'è una ricetta più	semplice per la felicità?{Color Reset}
"065"	{Blue}Come si fa a fare sci d'acqua?	Il mare non è mica in discesa,	squalett{o/a}.{Color Reset}
"066"	{Blue}Perché ci sono i pesci martello,	ma non i pesci chiodo?	{Blue}È un'ingiustizia, squalett{Blue}{Color Reset}{Blue}{o/a}!{Color Reset}
"067"	{Blue}Se il plurale di "uomo" è "uomini",	perché il plurale di "duomo" non	è "duomini", squalett{o/a}?{Color Reset}
"068"	{Blue}Non esistono gli squali della finanza,	squalett{o/a}. Gli squali non hanno	nemmeno il portafogli!{Color Reset}
"069"	{Blue}Perché esiste il colore "arancione"	per le arance, ma non il "bananone"	per le banane, squalett{o/a}?{Color Reset}
"070"	{Blue}Se gli orsi vanno in letargo	d'inverno, gli orsi polari ci	vanno d'estate, squalett{o/a}?{Color Reset}
"071"	{Blue}Perché abbiamo due reni ma solo	un cuore, squalett{o/a}? Con due cuori	sai quanti problemi risolveremmo?{Color Reset}
"072"	{Blue}Se uno non sfida gli altri a braccio	di ferro da un po' di tempo, dici	che si sentirà "arrugginito"?{Color Reset}
"073"	{Blue}A volte il vero coraggio significa	fare la cosa giusta, squalett{o/a}.	L'ho letto sulla locandina di un film!{Color Reset}
"074"	{Blue}Se l'oceano è pieno di sale,	da dove viene il pepe, squalett{o/a}?{Color Reset}
"075"	{Blue}Il formaggio non potrà mai più	tornare a essere latte, squalett{o/a}.{Color Reset}
"076"	{Blue}L'amore è il contrario dell'odio	e il contrario dell'odio è	l'indifferenza! Medita, squalett{o/a}!{Color Reset}
"077"	{Blue}Le scale sono sempre scale,	squalett{o/a}.	Non importa come tu le salga.{Color Reset}
"078"	{Blue}Le abitudini sono come	un paio di mutande che	non puoi toglierti, squalett{o/a}.{Color Reset}
"079"	{Blue}Perché la gente non ha le	branchie, squalett{o/a}?	Nuotare sarebbe facilissimo.{Color Reset}
"080"	{Blue}Le alghe sono le piante più	belle di tutte, squalett{o/a}.	Credimi!{Color Reset}
"081"	{Blue}Andare in vacanza è come andare	al lavoro con un biglietto del	treno diverso, squalett{o/a}.{Color Reset}
"082"	{Blue}I cucchiai sono sempre più	luccicanti prima della	zuppa, squalett{o/a}.{Color Reset}
"083"	{Blue}Sono andato sul Mar Rosso,	squalett{o/a}, solo che era blu.	Che strano!{Color Reset}
"084"	{Blue}Ma se il topografo studia le mappe,	come si chiama lo specialista	che disegna i topi, squalett{o/a}?{Color Reset}
"085"	{Blue}Per vendere una cosa che nessuno	vuole, mettici un cartellino con	un prezzo stratosferico, squalett{o/a}.{Color Reset}
"086"	{Blue}Quando vedi un gatto nero	di notte... Ehi, come hai fatto	a scorgerlo se è notte, squalett{o/a}?{Color Reset}
"087"	{Blue}Ho sempre pensato che l'avocado	lavorasse in "dribunale"!{Color Reset}
"088"	{Blue}Cosa usa il cielo quando	ha l'orticaria, squalett{o/a}?	Il grattacielo!{Color Reset}
"089"	{Blue}Se non vuoi perdere, squalett{o/a},	smetti di giocare dopo che hai vinto.{Color Reset}
"090"	{Blue}Secondo te sono i calamari	a copiare le piovre o viceversa,	squalett{o/a}?{Color Reset}
"091"	{Blue}Sapevi che esistono dei diamanti	per tagliare gli altri diamanti?!	È pazzesco, squalett{o/a}!{Color Reset}
"092"	{Blue}Sai qual è il contrario	di "genitori", squalett{o/a}?	Tontemucche!{Color Reset}
"093"	{Blue}Perché gli alieni si chiamano così,	squalett{o/a}? Nei film non ce le hanno	mai le ali! Io li chiamerei solo "eni".{Color Reset}
"094"	{Blue}La gente che ti chiede la palla	di solito è quella che poi non	la ripassa mai, squalett{o/a}.{Color Reset}
"095"	{Blue}Se non riesci a prendere sonno,	segui il consiglio del saggio e cantati	una ninna nanna, squalett{o/a}.{Color Reset}
"096"	{Blue}Ho letto che hanno mandato una	mucca sulla luna, squalett{o/a}.{Wait for input}Poi però ho sentito dire che si	trattava solo di una "bufala".{Color Reset}
"097"	{Blue}Odio le persone che dicono	sempre "cioè"! Cioè, squalett{o/a},	non so se mi spiego!{Color Reset}
"098"	{Blue}Il guard-rail non è messo lì	per essere guardato, squalett{o/a}!{Color Reset}
"099"	{Blue}C'è una risposta sempre	a tutto, squalett{o/a}!	Basta sapere dove cercare!{Color Reset}
"100"	{Blue}Una volta che hai detto una	bugia, squalett{o/a}, non puoi	più tornare indietro.{Color Reset}
"101"	{Blue}Hai mai provato a fare una	torta ai calamari? Non farlo mai,	squalett{o/a}. Credimi.{Color Reset}
"102"	{Blue}La pioggia è una scocciatura	solo per chi non vive sott'acqua,	squalett{o/a}!{Color Reset}
"103"	{Blue}Ma quando la gente è in transito	diventa "intransigente", squalett{o/a}?{Color Reset}
"104"	{Blue}Come si chiama la foto di una foto,	squalett{o/a}? "Foto al quadrato"?{Color Reset}
"105"	{Blue}Perché se la pecora bruca,	il bruco non pecora, squalett{o/a}?{Color Reset}
"106"	{Blue}Dici che le spigole ce li hanno	gli spigoli? O sono arrotondate?{Color Reset}
"107"	{Blue}Per una rana "fare un giretto" è	tutta un'altra cosa che "fare	un girino", squalett{o/a}!{Color Reset}
"108"	{Blue}Quando hai un problema, ti dicono	di dormirci sopra. Ma se il tuo	problema è l'insonnia, squalett{o/a}?!{Color Reset}
"109"	{Blue}Sai cosa c'è peggio del campeggio,	squalett{o/a}?	Il campessimo!{Color Reset}
"110"	{Blue}Ho sentito dire che il centro della	terra è così caldo che può fondere	qualsiasi cosa, squalett{o/a}.	Ma allora come mai la terra	non si è fusa ancora?{Color Reset}
"111"	{Blue}Ho sentito che in fondo all'oceano	c'è una saliera gigantesca. 	È vero, squalett{o/a}!{Color Reset}
"112"	{Blue}Chissà perché si dice "fare testa	o croce", squalett{o/a}?! Non ci sono	quasi mai le croci sulle monete!{Color Reset}
"113"	{Blue}Sei mai stat{o/a} in mare aperto,	squalett{o/a}? E gli orari di apertura	del mare dove li hai trovati?{Color Reset}
"114"	{Blue}Hai mai provato a suonare	una tromba sott'acqua, squalett{o/a}?	Non è affatto facile.{Color Reset}
"115"	{Blue}Una "balena" che salta fuori	all'improvviso, appare in	un "baleno", squalett{o/a}!{Color Reset}
"116"	{Blue}Squalett{o/a}, qual è il femminile	di "sommozzatori"?	"Sommozzamucche"?{Color Reset}
"117"	{Blue}Amore è camminare lungo	una strada sconosciuta	mano nella mano, squalett{o/a}!{Color Reset}
"118"	{Blue}Non trattare una cosa che	hai preso in prestito come	se fosse tua, squalett{o/a}.	Trattala come se fosse	di qualcun altro.{Color Reset}
"119"	{Blue}Porta sempre un regalo a	una festa di compleanno,	squalett{o/a}! 	Insomma, dico, per una fetta di	torta gratis si fa questo e altro!{Color Reset}
"120"	{Blue}Ti ricordi quando i telefoni erano	fatti per renderci la vita più facile?{Wait for input}Ora è come se fossimo noi a dover	rendere più facile la vita ai telefoni!{Color Reset}
"121"	{Blue}Non preoccuparti delle piccole cose,	squalett{o/a}. A meno che si tratti	dei germi. Quelli sono insidiosi!{Color Reset}
"122"	{Blue}Squalett{o/a}, il parrucchiere non fa	le parrucche, taglia i capelli.	Io lo chiamerei "tagliere"!{Color Reset}
"123"	{Blue}I tramonti sui monti sono i tramonti,	al mare però dovrebbero essere	i "tramari", squalett{o/a}!{Color Reset}
"124"	{Blue}Ma se fai un documentario su	un bugiardo, ci sarà qualcosa	di vero, squalett{o/a}?{Color Reset}
"125"	{Blue}Se svegli una persona che sta	dormendo per darle un sonnifero,	non sei molto d'aiuto, squalett{o/a}.{Color Reset}
"126"	{Blue}Squalett{o/a}, lo sai cosa dà da	mangiare un gallo ai pulcini?	"Pappagallo"!{Color Reset}
"127"	{Blue}Perché nessuno tranne te in questa	città porta i pantaloni, squalett{o/a}?{Color Reset}
"128"	{Blue}Squalett{o/a}, ma un'aragosta pescata	ad aprile è una "araprila"?{Color Reset}
"129"	{Blue}Hai mai provato a stringere la mano	ad una piovra, squalett{o/a}?	Ci vuole almeno un quarto d'ora!{Color Reset}
"130"	{Blue}Se decido che voglio schiacciare	un pisolino e poi dormo troppo...{Wait for input}... significa che sono un pigrone o	che sono troppo zelante. squalett{o/a}?{Color Reset}
"131"	{Blue}Ma il figlio della madreperla	è il figlioperla, squalett{o/a}?{Color Reset}
"132"	{Blue}Squalett{o/a}, se in mare c'è	la corrente, perché i pesci	non prendono la scossa?{Color Reset}
"133"	{Blue}La gelosia e l'amore sono	due facce della stessa	medaglia, squalett{o/a}.{Color Reset}
"134"	{Blue}Ora so perché "can che abbaia	non morde", squalett{o/a}! Come	farebbe ad abbaiare mentre morde?	Avrebbe la bocca piena!{Color Reset}
"135"	{Blue}La medusa in realtà è molto	pacifica, squalett{o/a}.	E non ha mica i serpenti in testa!{Color Reset}
"136"	{Blue}Chissà se i cavallucci marini	dormono nelle stalle acquatiche,	squalett{o/a}?!{Color Reset}
"137"	{Blue}I leoni sono i re della giungla,	squalett{o/a}. Ma i leoni marini	non sono i re di niente! Poveretti!{Color Reset}
"138"	{Blue}Le parole più grosse vengono	solitamente dalle persone più	piccole, squalett{o/a}.{Color Reset}
"139"	{Blue}È contro la legge odorarsi	le ascelle da sol{o/a}, squalett{o/a}.	È verissimo!{Color Reset}
"140"	{Blue}La vendetta è una perdita	di tempo, squalett{o/a}.	Rilassati, è acqua passata.{Color Reset}
"141"	{Blue}Ricorda quello che ti dico:	se galleggia sull'acqua,	non mangiarlo, squalett{o/a}.{Color Reset}
